order_id,order_date,customer_id,region,city,product_category,product_name,quantity,unit_price,discount,revenue,profit,payment_method,customer_segment,delivery_days,returned
ORD-10001,2023-01-01,CUST-206,Asia Pacific,Sydney,Furniture,Solid Oak Conference Table,2,868.59,0.0,1737.18,364.18,PayPal,Small Business,7,No
ORD-10002,2023-01-01,CUST-190,Latin America,Santiago,Furniture,Adjustable Standing Desk,1,573.71,0.15,487.65,36.92,Credit Card,Small Business,10,No
ORD-10003,2023-01-05,CUST-290,North America,New York,Furniture,Lounge Recliner Sofa,1,719.0,0.05,683.05,114.16,Corporate Invoice,Consumer,3,No
ORD-10004,2023-01-05,CUST-252,North America,Los Angeles,Electronics,4K Ultra Gaming Monitor,1,514.06,0.05,488.36,107.93,Direct Wire,Small Business,3,No
ORD-10005,2023-01-03,CUST-334,North America,Los Angeles,Office Supplies,Heavy Duty Paper Shredder,1,125.51,0.05,119.23,26.76,Corporate Invoice,Corporate,3,Yes
ORD-10006,2023-01-08,CUST-115,North America,Toronto,Furniture,Executive Ergonomic Chair,4,344.38,0.1,1239.77,161.77,Corporate Invoice,Small Business,2,Yes
ORD-10007,2023-01-09,CUST-260,Asia Pacific,Seoul,Fashion & Apparel,Merino Wool Blazer,1,255.69,0.1,230.12,40.88,PayPal,Corporate,13,Yes
ORD-10008,2023-01-05,CUST-141,Asia Pacific,Singapore,Electronics,Wireless Fast Charger,3,47.27,0.1,127.63,10.66,Credit Card,Corporate,3,No
ORD-10009,2023-01-05,CUST-203,Latin America,Bogota,Furniture,Adjustable Standing Desk,5,580.09,0.0,2900.45,617.6,PayPal,Small Business,3,No
ORD-10010,2023-01-08,CUST-232,Latin America,Santiago,Fashion & Apparel,Titanium Chrono Watch,1,303.3,0.1,272.97,56.38,PayPal,Corporate,4,No
ORD-10011,2023-01-14,CUST-132,North America,Chicago,Fashion & Apparel,Waterproof Trench Coat,2,189.32,0.05,359.71,88.62,PayPal,Corporate,2,No
ORD-10012,2023-01-06,CUST-262,Asia Pacific,Mumbai,Office Supplies,Locking Storage Cabinet,1,221.42,0.0,221.42,62.0,Direct Wire,Corporate,8,Yes
ORD-10013,2023-01-09,CUST-188,North America,New York,Electronics,Ultra Pro Smartphone,3,774.07,0.0,2322.21,634.72,Direct Wire,Corporate,3,No
ORD-10014,2023-01-13,CUST-176,Latin America,Sao Paulo,Office Supplies,Recycled Multipurpose Paper,4,37.21,0.0,148.84,29.09,PayPal,Corporate,6,No
ORD-10015,2023-01-11,CUST-103,North America,Houston,Electronics,Noise-Canceling Headphones,2,258.13,0.0,516.26,126.55,PayPal,Small Business,8,Yes
ORD-10016,2023-01-18,CUST-245,Asia Pacific,Singapore,Office Supplies,Heavy Duty Paper Shredder,5,123.73,0.05,587.72,158.16,Corporate Invoice,Small Business,9,Yes
ORD-10017,2023-01-13,CUST-233,Asia Pacific,Seoul,Furniture,Modern Minimalist Bookcase,2,189.54,0.1,341.17,31.47,Credit Card,Corporate,7,No
ORD-10018,2023-01-16,CUST-111,Asia Pacific,Mumbai,Office Supplies,Premium Gel Pen 20-Pack,2,24.29,0.05,46.15,-3.58,Credit Card,Small Business,8,Yes
ORD-10019,2023-01-12,CUST-340,Asia Pacific,Singapore,Electronics,4K Ultra Gaming Monitor,2,476.99,0.0,953.98,254.11,PayPal,Corporate,4,No
ORD-10020,2023-01-20,CUST-161,Europe,Berlin,Furniture,Adjustable Standing Desk,3,596.33,0.15,1520.64,147.97,Credit Card,Consumer,4,No
ORD-10021,2023-01-15,CUST-131,Asia Pacific,Seoul,Furniture,Adjustable Standing Desk,10,582.55,0.0,5825.5,1243.61,PayPal,Small Business,8,No
ORD-10022,2023-01-23,CUST-314,North America,Houston,Electronics,Wireless Fast Charger,5,51.01,0.0,255.05,45.91,Corporate Invoice,Small Business,7,Yes
ORD-10023,2023-01-17,CUST-219,Asia Pacific,Singapore,Fashion & Apparel,Titanium Chrono Watch,2,287.78,0.0,575.56,166.18,PayPal,Small Business,7,Yes
ORD-10024,2023-01-20,CUST-287,North America,Toronto,Office Supplies,Premium Gel Pen 20-Pack,4,23.53,0.1,84.71,0.3,PayPal,Small Business,6,No
ORD-10025,2023-01-18,CUST-158,Europe,Paris,Electronics,Ultra Pro Smartphone,1,805.55,0.2,644.44,73.28,Direct Wire,Consumer,3,Yes
ORD-10026,2023-01-22,CUST-256,Asia Pacific,Tokyo,Furniture,Modern Minimalist Bookcase,2,202.63,0.05,385.0,52.26,Direct Wire,Small Business,8,No
ORD-10027,2023-01-26,CUST-118,Latin America,Mexico City,Fashion & Apparel,Waterproof Trench Coat,3,193.4,0.15,493.17,86.83,Corporate Invoice,Small Business,5,No
